NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PERS_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Tong Zhou,通州,通州,0.0,0.0,,Zhilizhou,直隶州,3,1904,4,1911,6,91120,POLYGON,91120,FROM_FD,王文楚,满志敏,,2004/09/25,辖区缩小,数据下限
Haimen Ting,海门厅,海門廳,0.0,0.0,,Zhiliting,直隶厅,3,1768,4,1911,6,33311,POLYGON,91121,FROM_FD,王文楚,满志敏,,2004/09/25,新建,数据下限
Lian Zhou,涟州,漣州,0.0,0.0,,Zhou,州,3,621,4,626,4,91405,POLYGON,91405,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,978,4,1071,4,91365,POLYGON,91365,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,1130,4,1130,4,91364,POLYGON,91364,FROM_FD,王文楚,满志敏,,2005/01/25,新建,辖区扩大
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,1131,4,1132,4,91501,POLYGON,91501,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,1133,4,1134,4,91502,POLYGON,91502,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,撤销
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,1162,4,1163,4,91363,POLYGON,91363,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,1220,4,1227,4,91506,POLYGON,91506,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Lianshui Jun,涟水军,漣水軍,0.0,0.0,,Jun,军,3,1234,4,1261,4,91362,POLYGON,91362,FROM_FD,王文楚,满志敏,,2005/01/25,新建,更名
